,Category,Skills,Education,Experience
36,INFORMATION TECHNOLOGY,skills patch management database servers  professional ,"education master of science : management college of saint rose ï¼​ city , state management bachelor of arts : music history city , state music history skills account management, ad, analyst, application development, asm, agency, audit reports, auditing, backup, budgets, c, capability maturity model, cmm, capacity planning, client/server, cognos, concept, conferences, consultation, consulting, contracts, client, data dictionary system,    database and applications, database administration, dba, databases, database, database design, designing, disaster recovery, document management, due diligence, government regulations, ibm, information security, information systems, law, managing, meetings, mentoring, access, money, windows nt, modeling, enterprise, operating systems, oracle enterprise manager, oracle, oracle database, pl/sql, page, peoplesoft, policies, procurement, oracle rdbms, risk assessment, scanning, servers, scripts, scripting, software development, sql, sqlloader, statistics, sybase, systems development, tivoli, training programs, troubleshooting, unix, unix shell scripts, upgrade, workshops   ","experience information technology specialist information security officer  october 2010 to july 2015 company name ï¼​ city , state  installing and configuring oracle software versions 10g-12c. scripting maintenance and monitoring tools. creating risk assessment template based on nist 800-30r1 to facilitate and evaluate secure software development practice. building automated database risk/security models for quantifying degrees of database risk and enabling the standardization and prioritization of remediation efforts. managing/mentoring support staff and participating in 24x7 production support and security monitoring rotation for large scale, mission critical applications. developing, implementing and supporting enterprise backup and recovery, change control, security and audit procedures. performing database, server and application performance and security monitoring and tuning. implementing vendor and customized database auditing and analysis packages. develop pattern recognition triggers for anti-money laundering systems. working closely with corporate security to ensure that application and database server procedures and controls support all government regulations and corporate policies. designing and implementing least-privilege database administration model and application development templates. providing support and guidance for the modeling, development and testing of enterprise applications to ensure that applications are secure, highly available and fully meet the needs of our end user communities. develop its enterprise database installation, configuration, monitoring and security standards and procedures. train other database administrators in security best practices, change control, monitoring, account management and role-based user administration. create and configure security templates for oracle enterprise manager. act as bureau security liaison and represented database security at conferences and meetings. develop and implement database security policies and procedures. create comprehensive and cross-referenced database security benchmark utilizing the cis oracle security benchmark, nist and dod. managed ibm engagement for guardium from proof of concept to procurement. provide remediation roadmap for database and application security issues. identify and analyze data access rights that violate state law and memoranda of understanding. replace manual terminal service audit reports with secure self-service, repeatable and audited process using pl/sql and cognos.  vice president  april 2002 to september 2010 company name ï¼​ city , state  perform database penetration testing and regular server and database scanning for security vulnerabilities and compromised passwords. technical lead for database consolidation, backup software replacement, peoplesoft upgrade and anti-money laundering "
37,INFORMATION TECHNOLOGY,"skills in network, servers and software applications. highlights  leadership and vision network infrastructurehardware and software upgrade planningproject trackingbudgeting and resource management active directory, adobe, antivirus, backup exec, backup, budget, business processes, call center, capacity planning, cisco, computer assembly, hardware, contracts, das, direct attached storage, database, dell, dell servers, designing, desktops, documentation, firewall, hp, hiring, information systems, iso 9000, leadership, linux, logistics, mac, mac os,managing, access, microsoft certified professional, microsoft exchange, microsoft exchangeserver, microsoft office professional, office, microsoft project, microsoft visio professional, windows 7, windows 8, windows, nas, network attached storage, enterprise, network printers, network, networking, new product development, operating systems, pbx, pci,phone system, policies, project management, quality, quality assurance, quality improvement,quickbooks pro, research, robotic, safety, storage area network, san, scheduling, servers,microsoft sql, microsoft sql server, symantec, teamwork, technical analysis, phones,troubleshooting, visio professional, vision, wan, web portal  experience information technology manager  july 2000 to current company name ï¼​ city  provide leadership, vision and management to the it department.develop capitol budget, monitor and approve department expenditures.manage, monitor and maintain network infrastructure.manage phone system, including call center and office phones.manage all hardware and software configuration, installation and maintenance.manage it staff, scheduling, performance review, training, hiring, termination anddisciplinary action.maintain (pci dss) payment card industry data security standards of information. systems.research new technologies and calculate future needs to achieve capacity planning.perform technical analysis to improve business processes to save cost and time.manage technology documents, maintenance agreements & service contracts.  computer manufacturing supervisor  september 1998 to september 1999 city  supervised a team of 25 computer assemblers, 3 testers and 6 technicians.organized computer assembly and testing for daily production.implemented procedures for safety, performance and policies.ensured all employees were trained in the process of manufacturing.monitor software and hardware evaluation to ensure compatibility. managed documentation control for all hardware and software.provided resolutions to engineering, logistics and management.coordinated daily resolutions of issues through team-effort and effective communication.  quality assurance supervisor  april 1995 to march 1998 company name ï¼​ city  supervised a team of 15 computer quality inspectors and 8 software evaluators.hired, interviewed and promoted candidates for new positions.coordinated quality assurance of new product development and proto-types.monitored software and hardware compatibility and reliability.managed documentation control for all hardware and software.monitor schedules, training, expenditure and documentation.interview vendors for devices, parts and components evaluation.counseled employees to improve morale, productivity and teamwork.interpreted instructions for the iso 9000 compliance.implemented procedures for safety, performance and policies.maintain effective communication channels for quality improvement.assessed product viability and planned improvement and modifications.  ","education bachelor of science : information system , december 2000 university of phoenix information system information system microsoft certified professional, tech skills : june 1999 associate of science : computer technology , june 1993 american river college computer technology ","experience in it management and technical support. skilled in installation, configuration, migration and implementation of server platforms. dedicated it manager well-versed in analyzing and mitigating risk and finding cost-effective solutions. experience in strategic planning, designing and budgeting for new products. excellent troubleshooting "
38,INFORMATION TECHNOLOGY,"skills and contribute effectively to this nation's future, our children. having prior ","education course and be the part of the little bud's life. skills apple, art, book, oral, concept, conflict resolution, cpr, creativity, designing, direction, documentation, first aid, flash, fundraising, drawing, instruction, materials, meetings, organizing, philosophy, express, read, recording, safety, sound, teacher, teaching, transportation experience 09/2010 to 09/2011 information technology analyst company name  i believe that each child has their own potential and ","experience in it field, exploring the field to be with children lead to do the early childhood "
39,INFORMATION TECHNOLOGY,skills hardware updates process improvement implementation permissions management software licenses and patches excellent problem solving skills operating systems  task estimation gui and tools knowledge of streaming video platforms timeline management operational support windows operating systems  ,"education and training in supporting computer issues. systematic it professional proficient in network, project and emergency management. able to install hardware, patch software and configure internal systems. complex problem-solver with top-notch planning and communication strengths. resourceful team player and fast learner seeking to leverage background into a database administrator role with a progressive organization.  ","experience information technology specialist , 02/2019 to current  company name â€“ city , state   coordinated installation of microsoft software systems and collaborated with user experience team on design and implementation of new features kept hardware and software systems current with latest patches and current licenses provided on-site technical support after project implementation and recommended product changes and upgrades to product managers trained new employees on support processes, procedures and knowledge base mentored other technical engineers and support professionals to provide professional development and skill enhancement researched, documented and escalated support cases to higher levels of support when unable to resolve issues using available resources  shift leader , 11/2016 to current  company name â€“ city , state   assigned daily tasks to employees and monitored activity and task completion. diligently restocked work stations and display cases. routinely moved and stocked food products weighing up to 40 pounds. performed all position responsibilities accurately and in a timely manner. strictly followed all cash, security, inventory and labor policies and procedures. maintained clean and safe environment, including in the kitchen, bathrooms, building exterior, parking lot, dumpster and sidewalk. stored food in designated containers and storage areas to prevent spoilage or cross-contamination. reported to all shifts wearing a neat, clean and unwrinkled uniform. handled currency and credit transactions quickly and accurately. followed food safety procedures according to company policies and health and sanitation regulations.  customer service representative , 04/2017 to 09/2017  company name â€“ city , state   contacted customer to follow up on purchases, suggest new merchandise and inform them about promotions and upcoming events. operated a pos system to itemize and complete an average of 50 customer purchases. routinely answered customer questions regarding merchandise and pricing.  chef , 06/2016 to 02/2017  company name â€“ city , state  education and training ged fremont adult & continuing education - city , state  information technology , 2019  unitek college - fremont - city , state  skills  hardware updates process improvement implementation permissions management software licenses and patches excellent problem solving skills operating systems  task estimation gui and tools    knowledge of streaming video platforms timeline management operational support windows operating systems  work history information technology specialist , 02/2019 to current  company name â€“ city , state   coordinated installation of microsoft software systems and collaborated with user experience team on design and implementation of new features kept hardware and software systems current with latest patches and current licenses provided on-site technical support after project implementation and recommended product changes and upgrades to product managers trained new employees on support processes, procedures and knowledge base mentored other technical engineers and support professionals to provide professional development and skill enhancement researched, documented and escalated support cases to higher levels of support when unable to resolve issues using available resources  shift leader , 11/2016 to current  company name â€“ city , state   assigned daily tasks to employees and monitored activity and task completion. diligently restocked work stations and display cases. routinely moved and stocked food products weighing up to 40 pounds. performed all position responsibilities accurately and in a timely manner. strictly followed all cash, security, inventory and labor policies and procedures. maintained clean and safe environment, including in the kitchen, bathrooms, building exterior, parking lot, dumpster and sidewalk. stored food in designated containers and storage areas to prevent spoilage or cross-contamination. reported to all shifts wearing a neat, clean and unwrinkled uniform. handled currency and credit transactions quickly and accurately. followed food safety procedures according to company policies and health and sanitation regulations.  customer service representative , 04/2017 to 09/2017  company name â€“ city , state   contacted customer to follow up on purchases, suggest new merchandise and inform them about promotions and upcoming events. operated a pos system to itemize and complete an average of 50 customer purchases. routinely answered customer questions regarding merchandise and pricing.  chef , 06/2016 to 02/2017  company name â€“ city , state    "
40,INFORMATION TECHNOLOGY,"skills peoplesoft hcm 8.8/9.x, peoplesoft financials 8.8/9.x, peopletools 8.51/ 8.54, sql developer, ms office, visio, ms project, dell stat 5.6/5.7, sql developer, application designer, putty, sharepoint, hp application lifecycle management, oracle enterprise manager, stat admin, toad, service now, remedy, heat, oracle e-business, asset suite 8. ","education and training b.b.a : management information systems university of houston management information systems 2010 certified information systems auditor (cisa) certification - 1085531 *legacy mcse, ccna, and novell certified *delta sigma pi business fraternity *agrium women's leadership group skills streamline, approach, as/400, audit reports, auditing, business owner, business process, business processes, business process re-engineering, ccna, change management, cisa, citrix, coaching, hardware, continuous improvement, council, client, clients, customer satisfaction, database, dell, documentation, e-business, financials, financials 8.8, financial, financial reporting, functional, grants, hp, hubs, hr, information systems, internal audit, it management, it support, itil, leadership, team lead, mainframe, meetings, access, mcse, ms office, ms project, sharepoint, migration, enterprise, network, novell, oncology, oracle enterprise manager, oracle, developer, payroll, peoplesoft hrms, peoplesoft, peoplesoft 9.1, peoplesoft 9.2, peopletools, peopletools 8.51, personnel, policies, processes, procurement, quality, re- engineering, reporting, requirement, requirements gathering, risk assessment, risk management, sarbanes oxley, sas, siebel, sigma, sql, strategy, structured, supplier management, user support, user training, technical documentation, toad, troubleshoot, troubleshooting, upgrades, upgrade, validation, vpn, visio, articles   ","experience 10/2016 to current information technology auditor company name ï¼​ city , state  participate in the annual risk assessment and audit planning process covering it, financial, operational, and contract areas. assist with it audits and reviews including user access, database and service configurations, security, and policy and procedural compliance. perform it project pre and post audit assessments. participate in external cyber related audits and assessments. assist with it portion of annual assessment of internal controls over financial reporting (sarbanes oxley - sox). includes risk assessment, control walkthroughs, control testing, remediation assistance, report of results to it management and other management, and collaboration with our external financial it auditors. consult on it matters within non-it focused audits and reviews performed internal audit. assist and consult with it management on upgrades, implementations, and action plans resulting from various audits and assessments. assists and provides support to others auditing the association as needed. train and educate members of the internal audit team and other personnel on it audit methods and emerging it risks. coordinates work of internal auditors when assigned to assist with special/complex audits. adhere to company policies, programs and procedures as well as critical infrastructure protection (cip), western electricity coordinating council (wecc), federal energy regulatory commission (ferc), north american electric reliability corporation (nerc), and midwest reliability organization (mro) standards and equal employment opportunity (eeo) laws and regulations.  04/2015 to 10/2016 peoplesoft security administrator iii company name ï¼​ city , state  work closely with the internal and external audit department to provide reports and documentation for compliance. perform user access recertification, operational audits, quarterly performance assessments for segregation of duty /sox controls by compiling and distributing monthly and quarterly user access reports. provide functional expertise and guidance to developers for technical solutions in modules of peoplesoft core financials, and other applications. provision user security for peoplesoft financials. ensure that appropriate roles, permission lists, and row level security exists for all functional areas. create new business process flows and functional designs for enterprise learning management requirements. work with the business owners, data owners, end users, and external auditors on fit gap analysis and remediation for process requirements, improvements, and recommend best practice solutions. determine the risks associated with the access and highlight any risks to management. obtain report approval from business units and data owners of financial systems for review and user access validation. perform data migrations across multiple environments using dell stat 5.6/5.7. streamline and close the gaps of the employee onboarding and termination process. analyze, monitor, and troubleshoot business processes of systems that interface with peoplesoft financials. create, analyze and monitor access including creation, deletion and modification of access. coordinate and manage application release processes with various teams. interact with different teams of project managers, developers, quality engineers, peers, and other team members from integration teams.  07/2014 to 04/2015 sr. application systems analyst company name ï¼​ city , state  worked with business owner to gather and document business requirements and business processes. created and configured work centers, dashboards, and interaction hubs for hcm,and financials using peoplesoft 9.2 peopletools framework. provisioned user security and functional support for peoplesoft hr, ps financials, ps campus solutions, and workday hcm. ensure that appropriate roles, permission lists, and row level security exist for all functional areas. mapped security parameters for peoplesoft 9.1 to 9.2 upgrade. worked with third party vendors to implement solution. created and maintained documentation of application support and technical environments. performed data cleanup and validation of security roles and permission lists. performed user security role recertification to ensure sox and data privacy assessments. prepared applications for identity access management. identified and resolved application issues effectively and in a timely manner. provided advanced technical application support and troubleshooting. performed service request changes and assigned work accurately and efficiently. supported remote users using citrix remote desktop, microsoft lyncs.    10/2007 to 07/2014 sr. erp security analyst/team lead/project lead company name ï¼​ city , state  as a team lead, was responsible for implementation, troubleshooting, cybersecurity assessments, peoplesoft user security reviews and security support, user system access review, and upgrades for peoplesoft hrms, peoplesoft financial systems, and workday hcm. ensure that appropriate roles, permission lists, and row level security exists for all functional areas. responsible for working with stakeholder to gather requirements to bridge the gap between us oncology (uson) and mckesson specialty health for the merger. worked with stakeholders to perform comprehensive requirements gathering for onboarding new oncology clinics into the mckesson network. gathered the requirements and implemented the change to transfer uson corporate employees to mckesson's peoplesoft hcm. managed application project initiatives, procurement, and change management; this included impacts to business applications, processes and supplier management day-to-day planning, audit schedules, risk management, compliance, and ensuring the team met its required level of service for production. responsible for coordinating with it support teams on major incident management issues using itil best practices. performed business processes creation, analysis, and re-engineering. provided specialized training on application functionality. investigated and resolved it issues and complaints from end users, business owners, and stakeholders. supported and maintained other applications such as iknowmed ehr. managed and performed change management of security initiatives and business process changes for peoplesoft hrms, peoplesoft financials including grants, and workday hcm. on boarded new oncology practices; worked with the clients to perform fit/gap analysis to integrate the practices into the mckesson network. peoplesoft functions included the creation, and modification of the roles and permission lists, updates to row level security, processes, and query security. responsible for the creation, modification and terminations security of users for iknowmed ehr, peoplesoft, oracle, siebel, and additional medical systems. served as a core team member for the eib uploads, implementation and integration of security and business processes for workday hcm, payroll, time tracking absence management and compensation modules. provided both technical and functional support for peoplesoft financials, peoplesoft hr, and workday hcm. actively provided peoplesoft security subject matter expertise to the internal audit team to assist in evaluating the adequacy and effectiveness of application controls monitored annually. maintained security documentation including migration requests, security component and object standards and definitions, and weekly status reports. created and maintained security admission procedures for each application. managed and generated weekly security reports for security incidents in the heat incident handling tool to reduce the number of security issues and defects and enhance application controls and monitoring. developed and distributed quarterly security audit reports for the business owners' review and signoff. worked with the business owners to identify risk, define business processes, and reduce granting excessive access to users. coordinated business owner process approvals and authorization for requisition approvals, invoice approvals, employee time approvals, and user provisioning. participated in change management meetings to add value through perspective and awareness of impacts to operational changes proposed. contributed ideas for building efficiency within the department and business units.  04/2007 to 10/2007 manager company name ï¼​ city , state  managed and assisted in development of major incident management procedures to be followed by it staff in resolving network related issues. served a key role in the remedy implementation project; this included the installation and creation of data structure requirements and value data population in the new remedy incident handling tool. created a change management strategy and established reinforcement mechanisms and celebration of success. developed and maintained a network infrastructure that met all service level requirements and provided additional capacity for growth. applied a structured itil major incident management and change management approach and methodology. identified potential people-side risks and anticipated points of resistance; developed specific plans to mitigate or address the concerns. provided the documentation, tracking of potential gaps and risks, and status of mitigation steps to reduce these risks. conducted readiness assessments, evaluated results and presented findings. developed a set of actionable and targeted change management plans - including communication plan, sponsor roadmap, coaching plan, training plan and resistance management plan. supported the execution of plans by employee-facing managers, business leaders, and stakeholders. conducted active and visible coaching to change sponsors' executive leaders. created and managed systems metrics to track adoption, utilization and proficiency of individual changes. identified resistance and performance gaps, and worked to develop and implement corrective actions.  03/2006 to 04/2007 lead client security analyst company name ï¼​ city , state    served as the liaison between the business and it departments supporting global accounts for companies located all over the world. worked with developers to implement changes in production. led a team of five employees including first level support located in gurgaon, india to provide production security issue resolution. met with business team to determine requirements and define new process flows for new teams. gathered requirements for newly created teams and determined which business applications/environments were necessary for proper job performance. developed and enforced policy regarding mandatory security procedures. documented functional/training procedures and implement changes to security procedures. instituted security policies as dictated by business needs. regularly met with internal and external auditors to perform security walkthroughs and assisted in documenting test plans and mitigating findings. ensured sox/sas70 audit compliance by performing monthly/quarterly user audits. developed and maintained documentation for audit compliance. performed business impact analysis and cost/benefit analysis for potential tools, applications, hardware, and system solutions. chaired weekly meetings to address various client issues. worked with stakeholders to identify and moderate risks. created new roles, maintained segregation of duties and ensured appropriate access levels for applications maintained across product/business lines. structured roles/permissions according to design specifications and user specifications. managed siebel queues to disseminate, track, and evaluate security requests received by client security. implemented modifications to request processes. participated in functional testing. implemented and tested changes to online request processes.  05/2002 to 03/2006 sr. technical analyst company name ï¼​ city , state  coordinated with analysts/programmers to evaluate, modify, test, debug, and maintain applications. performed parallel testing and functional testing during peoplesoft upgrades. administered peoplesoft security to create, modify, and delete the security of users. diagnosed and resolved software issues and defects. accurately interpreted and fulfilled customer requirements to achieve customer satisfaction. provided third level end user support. worked with network and application support team to resolve technical issues. created and maintained support roles and permissions lists based on functional specifications and security requirement requests. identified and managed problems, determined root cause, and initiated corrective action and risk mitigation where applicable. provided support for as/400 mainframe, e-procurement, peoplesoft, vpn connectivity, blackberry, and other applications. documented new/existing functional processes and procedures, as well as created knowledgebase articles related to previously undocumented resolutions. worked on business process re-engineering initiatives. established and maintained cooperative working relationships and an effective system of communication within the organization. developed training and technical documentation and performed end user training. facilitated weekly continuous improvement meetings with business users to identify enhancement requests and production support issues. participated in weekly production support meetings with it. maintained issue and development task list documentation and status reporting on issues and enhancement requests of business users.  02/2000 to 09/2001 systems infrastructure analyst company name ï¼​ city , state 10/1999 to 02/2000 technology service consultant company name ï¼​ city , state "
41,INFORMATION TECHNOLOGY,"skills demonstrates ability to be a strong leader in a fast paced environment with strong interpersonal skills, both written and oral, and a positive attitude toward sharing expertise and assisting others to learn. exceptional ability to manage a group of individuals, and coordinate and distribute daily tasks and unexpected issues that may arise an organized, detail-oriented, and conscientious self-starter, able to strategize and prioritize effectively to accomplish multiple tasks and stay calm under pressure creative, resourceful and flexible, able to adapt to changing priorities and maintain a positive attitude and strong work ethic skill highlights  expertise technology optimization budgeting & operational cost team- building, training, & leadership goal-setting & business planning policy & procedure creation conflict resolution & management productivity, efficiency, & performance improvements it security project management vendor relations data center operations  operating systems: windows 7, xp, server 2013, 2008, 2003, microsoft active directory, sharepoint, exchange server: 2003, 2007, 2013, vm ware, trend micro, cisco infrastructure routers and switches, palo alto, emc storage solutions, data center management market data & trading systems: open bloomberg and server api, factset, fidessa, tethys, lava, lek, ice, tradeware, reuters eikon, thomson one, reuters station, instinet, nasdaq trader, advent  professional ","education b.s : computer science 1999 montclair state university computer science skills active directory, api, backup, bloomberg, bonds, budgeting, budget, business management, business planning, cisco, hardware, conflict resolution, contracts, client, customer support, design and construction, disaster recovery, email, equities, equity, senior management, fidessa, financial, fixed income, gmp, goal-setting, information technology, leadership, team-building, managerial, managing, market, meetings, access, exchange server, microsoft exchange, mail, office, sharepoint, windows 7, migration, network hardware, network, operating systems, operating system, optimization, order management, pbx, pc hardware, peripherals, policies, project management, reuters, routers, sales, securities, servers, strategy, switches, teamwork, telecommunications, trading systems, trading system, trend, upgrades, upgrade, vendor relations, video conferencing, vpn, vm, voip   ","experience senior vp - information technology 08/2014 to 09/2015 company name city , state  experienced technology leader with expertise in managing all aspects of front and back office systems in the financial services industry. a solid leader who can utilize his diverse background of information technology and business management skills to create winning teams to support mission-critical infrastructure svp, head of technology infrastructure u.s. direct information technology operations for a global institutional sales, trading firm specializing in high yield and distressed debt, convertible bonds, international bonds, investment grade debt and asset-backed securities coordinated relocation and setup of our primary nyc office location to a new office space, which included an entire hardware refresh for all network and desktop equipment led migration of the existing legacy site-to-site vpn network in the u.s which consisted of 6 branch offices to the toronto based mpls network in conjunction with nyc office relocation managed implementation of a nj data center for high availability for critical u.s. trading operations, and migrated direct client wires to the data center implemented a vm environment which reduced hardware, energy, and licensing costs saving $1.5m in capital expenditure managed the migration of legacy pbx telecommunications system and implemented voip and video conferencing coordinated setup and configuration of 3 new branch offices in houston, tx, stamford, ct, and new orleans, la implemented disaster recovery plan which would make the stamford, ct branch office the dr site for the nyc office managed and negotiated all new and renewal vendor support contracts managed bloomberg terminal contracts and fix connections for sseoms equity trading, and toms sell-side fixed income and derivative trading member of the gmp steering committee for the approval, planning, and prioritization of all future it "
42,INFORMATION TECHNOLOGY,skills document management  strong collaborative skills strong analytical skills customer needs assessment excellent problem solving skills  technical skills  skills ,"education in programming, relational database management and computer technology maintenance. ","experience totalyears last used  windows, unix, linux, mac osx, vmware, http/apache, dns/bind, ssh, snmp, dns, dhcp, ftp intermediate 2 may 2016  "
43,INFORMATION TECHNOLOGY,"skills language: chinese, english and japanese professional skills:  microsoft office, excel, power point, word, outlook, sql, adobe suit, flash, photoshop, illustrator,â  3d maxâ  others: php, java, c#, visual basic, html, cording, programming, customer relationship management (crm) erp system, rfid, e- commerce, electronic product code (epc) financial accounting, human resources, (hr) business marketing, international trade (import and export) app development sem, analysis, qms statistics, healthcare.  ? ","educational resources. team lead and recorder education 2016 metropolitan state university  city , state , usa business administration and management  mba master of business administration (mba)â   international trade organizational behavior finance and accountingâ   gpa 3.7? 2015 national taipei university of nursing and health science  city , state , taiwan information management  bachelor of science bachelors of information management  information technology erp (enterprise resource planning)  recruited to top 3 schools based on academic achievementâ   2015 global language institute  city , state , usa english  english dialect and language    excelled in english write,read and speak english  chose to be graduation speaker for the classs  gpa 3.4   ","experience july 2014 to september 2014 company name city , state information technology (internship) examined problems between users and systems. worked at different stations of hospital, including:er, registration, pharmacy, central sterile supplies department (cssd), and medical supplies store room.   september 2013 to december 2015 company name city , state business analyst worked with tourism bureau to publish ""taiwan hot spring voucher"" in order to promote taiwan. generated 3k followers â in facebook fan page within 3 months built and designed official website. may 2012 to january 2015 company name city , state chief executive officer expand five new business sites, two located at the large- scale department stores in the country planned for cultural events, including simple life festival in taipei and shanghai china. launched limited edition custom dress with bloggers, created record sales. 100 customer dresses were sold out within 4 hours. increased sales by 25% in two quarters. september 2011 to june 2013 company name city , state campus youth e- service volunteer planned summer and winter camps for kids who lack "
44,INFORMATION TECHNOLOGY,skills and ,"education and training 2018 park university ï¼​ city , state , united states bachelor of science information and computer science emphasis in network security  2015 comptia certified in security fundamentals (security+)  2014 comptia network fundamentals (network+ ) 2012 defense cyber investigation training academy ï¼​ city , state , united states coursework in network exploitation techniques  2011 defense cyber investigations academy ï¼​ city , state coursework in network monitoring techniquesâ   2010 defense cyber investigations training academy ï¼​ city , state , united states certified computer forensics examiner  2009 defense cyber investigations training academy ï¼​ city , state , united states certified digital media collector   ","experience across the analysis, troubleshooting, management and testing of complex it systems. â experience includesâ  analytical support to computer surveillance activities in cyber security, intrusion detection analysis and system administration. â also knowledgeable in military cyber operations.â  security clearance currently hold an active ts/sci security clearance. â last updated in 2013. technical "
45,INFORMATION TECHNOLOGY,"skills a+, active directory, apollo, army, com, hardware, data migration, dell, email, engineer, flash, hp, ibm, image, intel, inventory, laptops, leadership, logging, meetings, microsoft software, access, mcse, mos, outlook, sharepoint, windows, migration, nds, network attached storage (nas), nas, network attached storage"" (nas), network support, network, networks, novel, novell, netware, pdf, peripherals, personnel, processors, receiving, recruiting, reporting, retail, servers, scripts, shipping, installing software, systems analyst, desktop support, troubleshoot, type, upgrade, vb   ","educational background bachelor of science : information technology information technology support 2011 university of phoenix oct information technology information technology support associate of arts : paralegal network engineering 2001 southern college paralegal network engineering diploma 2002 southern technical institute mcse, a+, net+, and sec+ military 1989-1998 us army missouri / florida mos-12b (combat engineer) combat ready, earned various awards for excellent service, participated in the relive efforts during hurricane andrew in 1992 ","experience company name city , state information technology support specialist network specialist ~ pc technician it consultant customer engineer 01/2011 to current  with more than 10 years' experience in the it industry; i have provided technical leadership for the design, deployment and operation of it hardware and software. i have built, implemented and sold numerous computers systems. i have been instrumental in the service environment of the systems using the latest processor technologies like intel and amd processors also have helpdesk support experience, systems analyst and a strong leadership in the management of it systems and devices including, but not limited to dell, hp, ibm, microsoft software packages, setting up and maintaining networks for small businesses, setting cmos and bios, installing software applications to fill customer's needs, also active directory administration in novel and windows and strong experience in data migration using robocopy. professionalexperience. apollo / suntrust eis data migration project (non-branch analyze server space and data to determine the needed space on the ""network attached storage"" (nas). run tbackups on all novel servers using edirectory/nds report generator in order to determine the users on the different groups throughout the network. use carbon copy to remote into a user's computer and move their .pst files from their home (h:) drive on the server to their local computer and reconfigure outlook to use file from the new location. use robocopy scripts to copy user data from their h: drive to their new folder on the nas. use remote desktop connection to connect to the clusters and robocopy their files from the old servers to the new clusters in the nas. assist in the command center conference call to verify the branch teammate's access to the (h :) drives and (s :) drives from 8:00am to 12:00noon twice a week, attend project meetings, communicate and coordinate data migration and centralization activities with non- branch personnel, work effort may be performed remotely using remote migration tools perform pre-migration communication for migration of email pst files, perform pre-migration communication for user data migration, initiate and manage scripts for h:\drive and shared drive migrations for 30 novell and windows servers, manage command center support for day 1 and day 2. command center expected to handle approximately 50+ end user calls per week, update sharepoint with caller and incident information reported on day 1 and day 2, daily command center reporting should include a "
46,INFORMATION TECHNOLOGY,"skills in theming, as well. driven to provide excellent service and high-quality coding to create secure and functional sites for clients. expert in drupal and up to date on the latest developments and versions. managed several ","educational background bachelor of science : information technology information technology support 2011 university of phoenix oct information technology information technology support associate of arts : paralegal network engineering 2001 southern college paralegal network engineering diploma 2002 southern technical institute mcse, a+, net+, and sec+ military 1989-1998 us army missouri / florida mos-12b (combat engineer) combat ready, earned various awards for excellent service, participated in the relive efforts during hurricane andrew in 1992 ","experience in site building, and frontend and backend development. "
